storm.id,storm.name,n.obs,storm.duration,storm.pdi,max.wind,storm.year,basin,sst,sst.norm,sst.class
AL171971,HEIDI,17,367200,3751390013.4629626,55,1971,NATL,27.149286657899292,0.9825866316592371,low
AL181971,IRENE,37,799200,7470798554.003702,70,1971,NATL,27.149286657899292,0.9825866316592371,low
AL191971,JANICE,15,324e3,3161754581.6555552,55,1971,NATL,27.149286657899292,0.9825866316592371,low
AL211971,KRISTY,16,345600,1942047372.9666662,45,1971,NATL,27.149286657899292,0.9825866316592371,low
AL221971,LAURA,39,842400,14642735757.596292,60,1971,NATL,27.149286657899292,0.9825866316592371,low
AL011972,ALPHA,24,518400,4389181456.222221,60,1972,NATL,27.29580867354125,0.9878895545546961,low
AL021972,AGNES,35,756e3,12892209619.025923,75,1972,NATL,27.29580867354125,0.9878895545546961,low
AL031972,UNNAMED,8,172800,300331762.9592592,25,1972,NATL,27.29580867354125,0.9878895545546961,low
AL051972,UNNAMED,18,388800,647716727.4592592,25,1972,NATL,27.29580867354125,0.9878895545546961,low
AL061972,UNNAMED,13,280800,462812349.5296296,25,1972,NATL,27.29580867354125,0.9878895545546961,low
AL081972,UNNAMED,13,280800,485236140.88888884,25,1972,NATL,27.29580867354125,0.9878895545546961,low
AL091972,UNNAMED,9,194400,323858363.7296296,25,1972,NATL,27.29580867354125,0.9878895545546961,low
AL101972,BETTY,42,907200,29237315504.240734,90,1972,NATL,27.29580867354125,0.9878895545546961,low
AL111972,CARRIE,29,626400,7305009539.199999,60,1972,NATL,27.29580867354125,0.9878895545546961,low
AL121972,UNNAMED,9,194400,346282155.0888889,25,1972,NATL,27.29580867354125,0.9878895545546961,low
AL131972,DAWN,39,842400,11806309952.218515,70,1972,NATL,27.29580867354125,0.9878895545546961,low
AL141972,CHARLIE,11,237600,4205012284.5666656,60,1972,NATL,27.29580867354125,0.9878895545546961,low
AL151972,UNNAMED,17,367200,646613918.048148,25,1972,NATL,27.29580867354125,0.9878895545546961,low
AL161972,UNNAMED,9,194400,346282155.0888889,25,1972,NATL,27.29580867354125,0.9878895545546961,low
AL171972,UNNAMED,41,885600,2976482600.588888,30,1972,NATL,27.29580867354125,0.9878895545546961,low
AL181972,UNNAMED,17,367200,691461500.7666667,25,1972,NATL,27.29580867354125,0.9878895545546961,low
AL191972,DELTA,25,54e4,2741216592.8851843,40,1972,NATL,27.29580867354125,0.9878895545546961,low
AL011973,UNNAMED,13,280800,440388558.17037034,25,1973,NATL,27.36562474279239,0.9904163368302521,low
AL021973,UNNAMED,13,280800,485236140.88888884,25,1973,NATL,27.36562474279239,0.9904163368302521,low
AL031973,UNNAMED,9,194400,346282155.0888889,25,1973,NATL,27.36562474279239,0.9904163368302521,low
AL041973,ALICE,22,475200,13368623284.625923,80,1973,NATL,27.36562474279239,0.9904163368302521,low
AL051973,UNNAMED,9,194400,368705946.44814813,25,1973,NATL,27.36562474279239,0.9904163368302521,low
AL061973,ALFA,11,237600,1035170433.896296,40,1973,NATL,27.36562474279239,0.9904163368302521,low
AL071973,UNNAMED,9,194400,435609717.38888884,30,1973,NATL,27.36562474279239,0.9904163368302521,low
AL081973,BRENDA,16,345600,7027469170.737036,80,1973,NATL,27.36562474279239,0.9904163368302521,low
AL091973,CHRISTINE,42,907200,9827869868.685184,60,1973,NATL,27.36562474279239,0.9904163368302521,low
AL101973,DELIA,23,496800,6897705263.362962,60,1973,NATL,27.36562474279239,0.9904163368302521,low
AL111973,UNNAMED,24,518400,1649067672.7481477,30,1973,NATL,27.36562474279239,0.9904163368302521,low
AL121973,ELLEN,37,799200,33232058794.422215,100,1973,NATL,27.36562474279239,0.9904163368302521,low
AL141973,FRAN,20,432e3,14022956868.551851,70,1973,NATL,27.36562474279239,0.9904163368302521,low
AL151973,UNNAMED,9,194400,346282155.0888889,25,1973,NATL,27.36562474279239,0.9904163368302521,low
AL161973,GILDA,56,1209600,16427448987.911108,60,1973,NATL,27.36562474279239,0.9904163368302521,low
AL011974,UNNAMED,17,367200,624190126.6888888,25,1974,NATL,27.063064410211155,0.9794660771858353,low
AL021974,UNNAMED,6,129600,1640245197.459259,55,1974,NATL,27.063064410211155,0.9794660771858353,low
AL051974,UNNAMED,19,410400,3102202873.455555,45,1974,NATL,27.063064410211155,0.9794660771858353,low
AL061974,UNNAMED,19,410400,3925633900.4185176,50,1974,NATL,27.063064410211155,0.9794660771858353,low
AL071974,ALMA,13,280800,2160771239.503703,55,1974,NATL,27.063064410211155,0.9794660771858353,low
AL091974,BECKY,28,604800,38062364015.08888,100,1974,NATL,27.063064410211155,0.9794660771858353,low
AL101974,CARMEN,49,1058400,72999733762.22592,130,1974,NATL,27.063064410211155,0.9794660771858353,low
AL111974,UNNAMED,37,799200,2536094042.418518,30,1974,NATL,27.063064410211155,0.9794660771858353,low
AL121974,DOLLY,12,259200,2080266152.492592,45,1974,NATL,27.063064410211155,0.9794660771858353,low
AL131974,ELAINE,38,820800,7518586961.818518,60,1974,NATL,27.063064410211155,0.9794660771858353,low
AL141974,FIFI,33,712800,24091606791.996292,95,1974,NATL,27.063064410211155,0.9794660771858353,low
AL151974,UNNAMED,10,216e3,369808755.85925925,25,1974,NATL,27.063064410211155,0.9794660771858353,low
AL171974,GERTRUDE,27,583200,8448622898.522222,65,1974,NATL,27.063064410211155,0.9794660771858353,low
AL181974,UNNAMED,21,453600,2677621250.1777773,45,1974,NATL,27.063064410211155,0.9794660771858353,low
AL191974,UNNAMED,13,280800,507659932.2481481,25,1974,NATL,27.063064410211155,0.9794660771858353,low
AL201974,UNNAMED,9,194400,323858363.7296296,25,1974,NATL,27.063064410211155,0.9794660771858353,low
AL011975,UNNAMED,21,453600,1187725735.7666664,30,1975,NATL,27.226232836197834,0.9853714667492381,low
AL021975,AMY,31,669600,11398638073.244442,60,1975,NATL,27.226232836197834,0.9853714667492381,low
AL031975,UNNAMED,5,108e3,207328169.28888887,25,1975,NATL,27.226232836197834,0.9853714667492381,low
AL041975,BLANCHE,20,432e3,8401202093.844442,75,1975,NATL,27.226232836197834,0.9853714667492381,low
AL071975,CAROLINE,33,712800,13661235381.707407,100,1975,NATL,27.226232836197834,0.9853714667492381,low
AL081975,DORIS,29,626400,32545743737.574066,95,1975,NATL,27.226232836197834,0.9853714667492381,low
AL091975,UNNAMED,24,518400,1537316319.0888886,30,1975,NATL,27.226232836197834,0.9853714667492381,low
AL101975,UNNAMED,13,280800,663891265.4888887,30,1975,NATL,27.226232836197834,0.9853714667492381,low
AL121975,UNNAMED,14,302400,866072990.8592591,30,1975,NATL,27.226232836197834,0.9853714667492381,low
AL131975,ELOISE,47,1015200,22766029879.84074,110,1975,NATL,27.226232836197834,0.9853714667492381,low
AL141975,FAYE,46,993600,25945429412.074066,90,1975,NATL,27.226232836197834,0.9853714667492381,low
AL151975,GLADYS,46,993600,55660261391.32592,120,1975,NATL,27.226232836197834,0.9853714667492381,low
AL171975,UNNAMED,9,194400,368705946.44814813,25,1975,NATL,27.226232836197834,0.9853714667492381,low
AL191975,HALLIE,14,302400,1879554839.6703699,45,1975,NATL,27.226232836197834,0.9853714667492381,low
AL221975,UNNAMED,9,194400,346282155.0888889,25,1975,NATL,27.226232836197834,0.9853714667492381,low
AL231975,UNNAMED,17,367200,3823807831.4592586,60,1975,NATL,27.226232836197834,0.9853714667492381,low
AL011976,UNNAMED,18,388800,2751141877.5851846,45,1976,NATL,27.386322062206418,0.9911654139468505,low
AL021976,UNNAMED,10,216e3,615367651.3999999,30,1976,NATL,27.386322062206418,0.9911654139468505,low
AL031976,UNNAMED,6,129600,297758540.99999994,30,1976,NATL,27.386322062206418,0.9911654139468505,low
AL041976,UNNAMED,9,194400,346282155.0888889,25,1976,NATL,27.386322062206418,0.9911654139468505,low
AL051976,UNNAMED,6,129600,230854770.05925924,25,1976,NATL,27.386322062206418,0.9911654139468505,low
AL061976,ANNA,37,799200,3935191581.9814806,45,1976,NATL,27.386322062206418,0.9911654139468505,low
AL071976,BELLE,18,388800,24978265558.529625,105,1976,NATL,27.386322062206418,0.9911654139468505,low
AL081976,DOTTIE,15,324e3,1437695868.9518514,45,1976,NATL,27.386322062206418,0.9911654139468505,low
AL091976,CANDICE,25,54e4,17610395882.896294,80,1976,NATL,27.386322062206418,0.9911654139468505,low
AL101976,EMMY,62,1339200,71052172342.20369,90,1976,NATL,27.386322062206418,0.9911654139468505,low
AL111976,FRANCES,45,972e3,39947800504.95185,100,1976,NATL,27.386322062206418,0.9911654139468505,low
AL121976,UNNAMED,9,194400,346282155.0888889,25,1976,NATL,27.386322062206418,0.9911654139468505,low
AL131976,UNNAMED,9,194400,346282155.0888889,25,1976,NATL,27.386322062206418,0.9911654139468505,low
AL141976,UNNAMED,15,324e3,1030023989.9777775,40,1976,NATL,27.386322062206418,0.9911654139468505,low
AL151976,UNNAMED,29,626400,1900875821.618518,30,1976,NATL,27.386322062206418,0.9911654139468505,low
AL171976,GLORIA,35,756e3,24740426328.86666,90,1976,NATL,27.386322062206418,0.9911654139468505,low
AL181976,UNNAMED,9,194400,502513488.32962954,30,1976,NATL,27.386322062206418,0.9911654139468505,low
AL191976,UNNAMED,37,799200,2154521986.1740737,30,1976,NATL,27.386322062206418,0.9911654139468505,low
AL201976,UNNAMED,13,280800,652863171.3777777,30,1976,NATL,27.386322062206418,0.9911654139468505,low
AL211976,HOLLY,26,561600,7226710071.01111,65,1976,NATL,27.386322062206418,0.9911654139468505,low
AL031977,UNNAMED,5,108e3,184904377.92962962,25,1977,NATL,27.370294240954532,0.9905853352473557,low
AL041977,UNNAMED,13,280800,786670713.2592591,30,1977,NATL,27.370294240954532,0.9905853352473557,low
AL051977,ANITA,20,432e3,40197403034.999985,150,1977,NATL,27.370294240954532,0.9905853352473557,low
AL061977,BABE,24,518400,4517107347.911111,65,1977,NATL,27.370294240954532,0.9905853352473557,low
AL071977,CLARA,27,583200,7167158362.8111105,65,1977,NATL,27.370294240954532,0.9905853352473557,low
AL081977,UNNAMED,9,194400,346282155.0888889,25,1977,NATL,27.370294240954532,0.9905853352473557,low
AL101977,DOROTHY,15,324e3,7729591162.477777,75,1977,NATL,27.370294240954532,0.9905853352473557,low
AL111977,UNNAMED,9,194400,435609717.38888884,30,1977,NATL,27.370294240954532,0.9905853352473557,low
AL121977,UNNAMED,9,194400,469061602.8592592,30,1977,NATL,27.370294240954532,0.9905853352473557,low
AL131977,EVELYN,10,216e3,4942424177.462961,70,1977,NATL,27.370294240954532,0.9905853352473557,low
AL141977,FRIEDA,10,216e3,1365645654.0925922,50,1977,NATL,27.370294240954532,0.9905853352473557,low
AL011978,UNNAMED,19,410400,2307812494.3185177,40,1978,NATL,27.333328795620186,0.9892474823278098,low
AL031978,UNNAMED,9,194400,469061602.8592592,30,1978,NATL,27.333328795620186,0.9892474823278098,low
AL041978,AMELIA,6,129600,787038316.3962961,45,1978,NATL,27.333328795620186,0.9892474823278098,low
AL051978,BESS,13,280800,1712663015.4555552,45,1978,NATL,27.333328795620186,0.9892474823278098,low
AL061978,CORA,19,410400,8833870986.137035,80,1978,NATL,27.333328795620186,0.9892474823278098,low
