storm.id,storm.name,n.obs,storm.duration,storm.pdi,max.wind,mean.wind,mean.sq.wind,storm.year,basin,sst,sst.norm,sst.class
AL181976,UNNAMED,9,194400,502513488.32962954,30,26.11111111111111,697.2222222222222,1976,NATL,27.386322062206418,0.9911654139468505,low
AL191976,UNNAMED,37,799200,2154521986.1740737,30,26.62162162162162,720.9459459459459,1976,NATL,27.386322062206418,0.9911654139468505,low
AL201976,UNNAMED,13,280800,652863171.3777777,30,25.384615384615383,653.8461538461538,1976,NATL,27.386322062206418,0.9911654139468505,low
AL211976,HOLLY,26,561600,7226710071.01111,65,42.11538461538461,1922.1153846153845,1976,NATL,27.386322062206418,0.9911654139468505,low
AL031977,UNNAMED,5,108e3,184904377.92962962,25,23,535,1977,NATL,27.370294240954532,0.9905853352473557,low
AL041977,UNNAMED,13,280800,786670713.2592591,30,26.923076923076923,738.4615384615385,1977,NATL,27.370294240954532,0.9905853352473557,low
AL051977,ANITA,20,432e3,40197403034.999985,150,72,6512.5,1977,NATL,27.370294240954532,0.9905853352473557,low
AL061977,BABE,24,518400,4517107347.911111,65,35,1400,1977,NATL,27.370294240954532,0.9905853352473557,low
AL071977,CLARA,27,583200,7167158362.8111105,65,40.55555555555556,1834.2592592592594,1977,NATL,27.370294240954532,0.9905853352473557,low
AL081977,UNNAMED,9,194400,346282155.0888889,25,23.333333333333332,550,1977,NATL,27.370294240954532,0.9905853352473557,low
AL101977,DOROTHY,15,324e3,7729591162.477777,75,51,2895,1977,NATL,27.370294240954532,0.9905853352473557,low
AL111977,UNNAMED,9,194400,435609717.38888884,30,25,636.1111111111111,1977,NATL,27.370294240954532,0.9905853352473557,low
AL121977,UNNAMED,9,194400,469061602.8592592,30,25.555555555555557,666.6666666666666,1977,NATL,27.370294240954532,0.9905853352473557,low
AL131977,EVELYN,10,216e3,4942424177.462961,70,50.5,2807.5,1977,NATL,27.370294240954532,0.9905853352473557,low
AL141977,FRIEDA,10,216e3,1365645654.0925922,50,33.5,1207.5,1977,NATL,27.370294240954532,0.9905853352473557,low
AL011978,UNNAMED,19,410400,2307812494.3185177,40,33.68421052631579,1165.7894736842106,1978,NATL,27.333328795620186,0.9892474823278098,low
AL031978,UNNAMED,9,194400,469061602.8592592,30,25.555555555555557,666.6666666666666,1978,NATL,27.333328795620186,0.9892474823278098,low
AL041978,AMELIA,6,129600,787038316.3962961,45,34.166666666666664,1212.5,1978,NATL,27.333328795620186,0.9892474823278098,low
AL051978,BESS,13,280800,1712663015.4555552,45,33.46153846153846,1194.2307692307693,1978,NATL,27.333328795620186,0.9892474823278098,low
AL061978,CORA,19,410400,8833870986.137035,80,47.63157894736842,2606.5789473684213,1978,NATL,27.333328795620186,0.9892474823278098,low
AL091978,DEBRA,14,302400,1171551197.737037,50,28.214285714285715,858.9285714285714,1978,NATL,27.333328795620186,0.9892474823278098,low
AL101978,ELLA,27,583200,55089006116.37036,120,79.62962962962963,7188.888888888889,1978,NATL,27.333328795620186,0.9892474823278098,low
AL111978,UNNAMED,9,194400,446637811.4999999,30,25,641.6666666666666,1978,NATL,27.333328795620186,0.9892474823278098,low
AL121978,UNNAMED,33,712800,1861174682.8185182,30,26.21212121212121,702.2727272727273,1978,NATL,27.333328795620186,0.9892474823278098,low
AL131978,FLOSSIE,50,108e4,23846783102.72962,85,47.3,2599.5,1978,NATL,27.333328795620186,0.9892474823278098,low
AL151978,HOPE,39,842400,8442373645.192592,55,38.97435897435897,1641.025641025641,1978,NATL,27.333328795620186,0.9892474823278098,low
AL161978,GRETA,26,561600,30645603122.229626,115,61.53846153846154,4646.153846153846,1978,NATL,27.333328795620186,0.9892474823278098,low
AL171978,UNNAMED,45,972e3,3059560909.5592585,30,28.11111111111111,801.6666666666666,1978,NATL,27.333328795620186,0.9892474823278098,low
AL191978,IRMA,14,302400,1924034819.2518513,45,35,1260.7142857142858,1978,NATL,27.333328795620186,0.9892474823278098,low
AL201978,JULIET,16,345600,3245200493.7629623,45,40,1643.75,1978,NATL,27.333328795620186,0.9892474823278098,low
AL211978,UNNAMED,18,388800,904303717.1111109,30,25,644.4444444444445,1978,NATL,27.333328795620186,0.9892474823278098,low
AL221978,UNNAMED,13,280800,462812349.5296296,25,22.692307692307693,521.1538461538462,1978,NATL,27.333328795620186,0.9892474823278098,low
AL231978,KENDRA,24,518400,7862295894.948147,70,44.583333333333336,2147.9166666666665,1978,NATL,27.333328795620186,0.9892474823278098,low
AL241978,UNNAMED,9,194400,346282155.0888889,25,23.333333333333332,550,1978,NATL,27.333328795620186,0.9892474823278098,low
AL021979,ANA,19,410400,1806769418.5370367,50,30.263157894736842,961.8421052631579,1979,NATL,27.636616160693684,1.0002240547227852,high
AL031979,UNNAMED,21,453600,897686860.6444443,25,24.285714285714285,592.8571428571429,1979,NATL,27.636616160693684,1.0002240547227852,high
AL041979,BOB,29,626400,4402782772.292593,65,30.17241379310345,1125,1979,NATL,27.636616160693684,1.0002240547227852,high
AL051979,UNNAMED,14,302400,843649199.4999998,30,26.785714285714285,733.9285714285714,1979,NATL,27.636616160693684,1.0002240547227852,high
AL061979,CLAUDETTE,57,1231200,3957247770.2037024,45,26.403508771929825,760.9649122807018,1979,NATL,27.636616160693684,1.0002240547227852,high
AL071979,UNNAMED,14,302400,776745428.559259,30,26.071428571428573,694.6428571428571,1979,NATL,27.636616160693684,1.0002240547227852,high
AL081979,UNNAMED,25,54e4,1695018064.8777773,30,28.2,803,1979,NATL,27.636616160693684,1.0002240547227852,high
AL091979,DAVID,55,1188e3,153484234997.66293,150,82.81818181818181,8315,1979,NATL,27.636616160693684,1.0002240547227852,high
AL111979,FREDERIC,68,1468800,48031025885.25925,115,51.911764705882355,3238.235294117647,1979,NATL,27.636616160693684,1.0002240547227852,high
AL121979,ELENA,13,280800,1305358739.618518,35,31.923076923076923,1036.5384615384614,1979,NATL,27.636616160693684,1.0002240547227852,high
AL131979,UNNAMED,21,453600,1265657600.8185182,30,26.904761904761905,736.9047619047619,1979,NATL,27.636616160693684,1.0002240547227852,high
AL141979,GLORIA,44,950400,38306084894.944435,85,61.70454545454545,4168.75,1979,NATL,27.636616160693684,1.0002240547227852,high
AL151979,HENRI,39,842400,7784731633.033332,75,34.23076923076923,1399.3589743589744,1979,NATL,27.636616160693684,1.0002240547227852,high
AL161979,UNNAMED,21,453600,1198753829.8777776,30,26.428571428571427,710.7142857142857,1979,NATL,27.636616160693684,1.0002240547227852,high
AL181979,UNNAMED,9,194400,2805547141.8666663,65,43.333333333333336,2066.6666666666665,1979,NATL,27.636616160693684,1.0002240547227852,high
AL201979,UNNAMED,11,237600,627866158.0592592,30,26.363636363636363,709.0909090909091,1979,NATL,27.636616160693684,1.0002240547227852,high
AL031980,UNNAMED,17,367200,981500375.8888887,30,26.470588235294116,714.7058823529412,1980,NATL,27.72804292322515,1.003532970930098,high
AL041980,ALLEN,46,993600,202204149161.72958,165,97.06521739130434,11509.239130434782,1980,NATL,27.72804292322515,1.003532970930098,high
AL051980,UNNAMED,17,367200,1070827938.1888887,30,27.352941176470587,760.2941176470588,1980,NATL,27.72804292322515,1.003532970930098,high
AL061980,BONNIE,24,518400,18056298488.12222,85,59.375,3794.7916666666665,1980,NATL,27.72804292322515,1.003532970930098,high
AL071980,CHARLEY,22,475200,8863279237.099998,70,47.04545454545455,2442.0454545454545,1980,NATL,27.72804292322515,1.003532970930098,high
AL081980,UNNAMED,17,367200,970472281.7777776,30,26.470588235294116,711.7647058823529,1980,NATL,27.72804292322515,1.003532970930098,high
AL091980,GEORGES,32,691200,6650308352.137035,70,34.84375,1441.40625,1980,NATL,27.72804292322515,1.003532970930098,high
AL101980,EARL,27,583200,12271695523.707407,65,50.925925925925924,2743.5185185185187,1980,NATL,27.72804292322515,1.003532970930098,high
AL111980,DANIELLE,12,259200,1095089745.233333,50,28.75,902.0833333333334,1980,NATL,27.72804292322515,1.003532970930098,high
AL121980,FRANCES,61,1317600,92574600809.44814,100,76.31147540983606,6172.540983606557,1980,NATL,27.72804292322515,1.003532970930098,high
AL131980,HERMINE,23,496800,7062391468.755554,60,44.34782608695652,2100,1980,NATL,27.72804292322515,1.003532970930098,high
AL141980,IVAN,45,972e3,47199875192.41851,90,60.55555555555556,4436.111111111111,1980,NATL,27.72804292322515,1.003532970930098,high
AL151980,UNNAMED,9,194400,346282155.0888889,25,23.333333333333332,550,1980,NATL,27.72804292322515,1.003532970930098,high
AL161980,JEANNE,35,756e3,13821142746.318516,85,44.857142857142854,2334.285714285714,1980,NATL,27.72804292322515,1.003532970930098,high
AL171980,UNNAMED,25,54e4,1527391034.3888886,30,27,743,1980,NATL,27.72804292322515,1.003532970930098,high
AL181980,KARL,13,280800,11001994288.38148,75,65,4294.2307692307695,1980,NATL,27.72804292322515,1.003532970930098,high
AL011981,UNNAMED,5,108e3,274231940.2296296,30,26,690,1981,NATL,27.62524714597166,0.9998125874889768,low
AL021981,UNNAMED,10,216e3,356207439.7888889,25,22.5,517.5,1981,NATL,27.62524714597166,0.9998125874889768,low
AL031981,ARLENE,11,237600,1472250563.833333,50,34.09090909090909,1215.909090909091,1981,NATL,27.62524714597166,0.9998125874889768,low
AL061981,BRET,9,194400,3259537016.1074066,60,46.111111111111114,2319.4444444444443,1981,NATL,27.62524714597166,0.9998125874889768,low
AL091981,CINDY,12,259200,2511832235.3740735,50,39.583333333333336,1643.75,1981,NATL,27.62524714597166,0.9998125874889768,low
AL101981,DENNIS,60,1296e3,9601793939.407406,70,33.666666666666664,1285.8333333333333,1981,NATL,27.62524714597166,0.9998125874889768,low
AL111981,UNNAMED,19,410400,981500375.8888887,30,25.263157894736842,657.8947368421053,1981,NATL,27.62524714597166,0.9998125874889768,low
AL131981,EMILY,47,1015200,29074099711.39629,80,55.42553191489362,3313.2978723404253,1981,NATL,27.62524714597166,0.9998125874889768,low
AL141981,FLOYD,37,799200,32525893168.17407,100,55.810810810810814,3806.0810810810813,1981,NATL,27.62524714597166,0.9998125874889768,low
AL151981,GERT,36,777600,21622416520.518513,90,50.27777777777778,2994.4444444444443,1981,NATL,27.62524714597166,0.9998125874889768,low
AL161981,HARVEY,34,734400,42462941168.55926,115,64.55882352941177,4972.794117647059,1981,NATL,27.62524714597166,0.9998125874889768,low
AL181981,IRENE,48,1036800,57754496463.02592,105,65.72916666666667,4958.854166666667,1981,NATL,27.62524714597166,0.9998125874889768,low
AL191981,UNNAMED,36,777600,2501171744.3999996,30,28.333333333333332,813.8888888888889,1981,NATL,27.62524714597166,0.9998125874889768,low
AL201981,JOSE,15,324e3,2107836387.7703698,45,35.333333333333336,1283.3333333333333,1981,NATL,27.62524714597166,0.9998125874889768,low
AL211981,KATRINA,20,432e3,7356106375.248147,75,45.25,2276.25,1981,NATL,27.62524714597166,0.9998125874889768,low
AL221981,UNNAMED,20,432e3,10191796974.35185,60,55.25,3081.25,1981,NATL,27.62524714597166,0.9998125874889768,low
AL011982,ALBERTO,17,367200,4031136000.7481475,75,36.470588235294116,1585.2941176470588,1982,NATL,27.305510971272945,0.9882406999887426,low
AL021982,UNNAMED,12,259200,6030529463.092591,60,52.916666666666664,2960.4166666666665,1982,NATL,27.305510971272945,0.9882406999887426,low
AL031982,BERYL,37,799200,9637083840.562962,60,40.810810810810814,1827.027027027027,1982,NATL,27.305510971272945,0.9882406999887426,low
AL041982,UNNAMED,15,324e3,945475268.459259,30,27.333333333333332,760,1982,NATL,27.305510971272945,0.9882406999887426,low
AL051982,CHRIS,16,345600,2466984652.6555552,55,34.6875,1298.4375,1982,NATL,27.305510971272945,0.9882406999887426,low
AL061982,DEBBY,30,648e3,49546286016.125916,115,74.66666666666667,6255,1982,NATL,27.305510971272945,0.9882406999887426,low
AL071982,UNNAMED,15,324e3,945475268.459259,30,27.333333333333332,760,1982,NATL,27.305510971272945,0.9882406999887426,low
AL081982,ERNESTO,11,237600,2868407278.2999997,60,42.27272727272727,1888.6363636363637,1982,NATL,27.305510971272945,0.9882406999887426,low
AL011983,UNNAMED,22,475200,1445415534.8296292,30,27.727272727272727,781.8181818181819,1983,NATL,27.653298357330275,1.0008278165677418,high
AL021983,UNNAMED,25,54e4,1572238617.107407,30,27.4,761,1983,NATL,27.653298357330275,1.0008278165677418,high
AL031983,ALICIA,24,518400,14823228897.88148,100,47.083333333333336,2887.5,1983,NATL,27.653298357330275,1.0008278165677418,high
