storm.id,storm.name,n.obs,date.time,status,record.id,lat,long,wind,storm.year,basin
EP041986,DARBY,17,1986-07-06T12:00:00Z,Tropical depression,NA,19.1,-114.2,30,1986,EPAC
EP041986,DARBY,17,1986-07-06T18:00:00Z,Tropical depression,NA,19.2,-115.2,25,1986,EPAC
EP041986,DARBY,17,1986-07-07T00:00:00Z,Tropical depression,NA,19.2,-116,25,1986,EPAC
EP041986,DARBY,17,1986-07-07T06:00:00Z,Tropical depression,NA,19.3,-116.8,25,1986,EPAC
EP041986,DARBY,17,1986-07-07T12:00:00Z,Tropical depression,NA,19.4,-117.6,25,1986,EPAC
EP041986,DARBY,17,1986-07-07T18:00:00Z,Tropical depression,NA,19.5,-118.2,25,1986,EPAC
EP051986,ESTELLE,40,1986-07-16T12:00:00Z,Tropical depression,NA,10.3,-115,30,1986,EPAC
EP051986,ESTELLE,40,1986-07-16T18:00:00Z,Tropical depression,NA,10.3,-116.3,30,1986,EPAC
EP051986,ESTELLE,40,1986-07-17T00:00:00Z,Tropical storm,NA,10.4,-117.4,35,1986,EPAC
EP051986,ESTELLE,40,1986-07-17T06:00:00Z,Tropical storm,NA,10.7,-118.5,40,1986,EPAC
EP051986,ESTELLE,40,1986-07-17T12:00:00Z,Tropical storm,NA,11,-119.6,45,1986,EPAC
EP051986,ESTELLE,40,1986-07-17T18:00:00Z,Tropical storm,NA,11.3,-120.6,45,1986,EPAC
EP051986,ESTELLE,40,1986-07-18T00:00:00Z,Tropical storm,NA,11.6,-121.6,55,1986,EPAC
EP051986,ESTELLE,40,1986-07-18T06:00:00Z,Tropical storm,NA,11.9,-122.7,55,1986,EPAC
EP051986,ESTELLE,40,1986-07-18T12:00:00Z,Hurricane,NA,12.2,-123.7,65,1986,EPAC
EP051986,ESTELLE,40,1986-07-18T18:00:00Z,Hurricane,NA,12.5,-124.7,65,1986,EPAC
EP051986,ESTELLE,40,1986-07-19T00:00:00Z,Hurricane,NA,12.8,-125.8,70,1986,EPAC
EP051986,ESTELLE,40,1986-07-19T06:00:00Z,Hurricane,NA,13,-126.9,75,1986,EPAC
EP051986,ESTELLE,40,1986-07-19T12:00:00Z,Hurricane,NA,13.4,-128.1,90,1986,EPAC
EP051986,ESTELLE,40,1986-07-19T18:00:00Z,Hurricane,NA,13.7,-129.7,90,1986,EPAC
EP051986,ESTELLE,40,1986-07-20T00:00:00Z,Hurricane,NA,13.9,-131.3,90,1986,EPAC
EP051986,ESTELLE,40,1986-07-20T06:00:00Z,Hurricane,NA,14.2,-132.9,95,1986,EPAC
EP051986,ESTELLE,40,1986-07-20T12:00:00Z,Hurricane,NA,14.6,-134.6,115,1986,EPAC
EP051986,ESTELLE,40,1986-07-20T18:00:00Z,Hurricane,NA,15,-136.3,115,1986,EPAC
EP051986,ESTELLE,40,1986-07-21T00:00:00Z,Hurricane,NA,15.2,-138.2,115,1986,EPAC
EP051986,ESTELLE,40,1986-07-21T06:00:00Z,Hurricane,NA,15.4,-140.3,115,1986,EPAC
EP051986,ESTELLE,40,1986-07-21T12:00:00Z,Hurricane,NA,15.8,-142.3,115,1986,EPAC
EP051986,ESTELLE,40,1986-07-21T18:00:00Z,Hurricane,NA,16,-144.2,115,1986,EPAC
EP051986,ESTELLE,40,1986-07-22T00:00:00Z,Hurricane,NA,16.3,-146.2,105,1986,EPAC
EP051986,ESTELLE,40,1986-07-22T06:00:00Z,Hurricane,NA,16.6,-147.8,105,1986,EPAC
EP051986,ESTELLE,40,1986-07-22T12:00:00Z,Hurricane,NA,16.8,-149.4,100,1986,EPAC
EP051986,ESTELLE,40,1986-07-22T18:00:00Z,Hurricane,NA,16.9,-151,85,1986,EPAC
EP051986,ESTELLE,40,1986-07-23T00:00:00Z,Hurricane,NA,17,-152.6,85,1986,EPAC
EP051986,ESTELLE,40,1986-07-23T06:00:00Z,Hurricane,NA,17,-154.2,80,1986,EPAC
EP051986,ESTELLE,40,1986-07-23T12:00:00Z,Hurricane,NA,17,-155.9,75,1986,EPAC
EP051986,ESTELLE,40,1986-07-23T18:00:00Z,Tropical storm,NA,17,-157.2,60,1986,EPAC
EP051986,ESTELLE,40,1986-07-24T00:00:00Z,Tropical storm,NA,17,-158.2,45,1986,EPAC
EP051986,ESTELLE,40,1986-07-24T06:00:00Z,Tropical storm,NA,17,-159,40,1986,EPAC
EP051986,ESTELLE,40,1986-07-24T12:00:00Z,Tropical storm,NA,17.1,-159.8,35,1986,EPAC
EP051986,ESTELLE,40,1986-07-24T18:00:00Z,Tropical storm,NA,17.3,-160.6,35,1986,EPAC
EP061986,FRANK,38,1986-07-24T18:00:00Z,Tropical depression,NA,11.1,-94.9,25,1986,EPAC
EP051986,ESTELLE,40,1986-07-25T00:00:00Z,Tropical depression,NA,17.5,-161.4,30,1986,EPAC
EP061986,FRANK,38,1986-07-25T00:00:00Z,Tropical depression,NA,11.3,-96.1,25,1986,EPAC
EP051986,ESTELLE,40,1986-07-25T06:00:00Z,Tropical depression,NA,17.7,-162.3,30,1986,EPAC
EP061986,FRANK,38,1986-07-25T06:00:00Z,Tropical depression,NA,11.7,-97.3,25,1986,EPAC
EP051986,ESTELLE,40,1986-07-25T12:00:00Z,Tropical depression,NA,17.9,-163.2,30,1986,EPAC
EP061986,FRANK,38,1986-07-25T12:00:00Z,Tropical depression,NA,11.9,-98.1,25,1986,EPAC
EP051986,ESTELLE,40,1986-07-25T18:00:00Z,Tropical depression,NA,18.2,-164.2,30,1986,EPAC
EP061986,FRANK,38,1986-07-25T18:00:00Z,Tropical depression,NA,12.1,-100.1,25,1986,EPAC
